account_id,account_number,bank_name,branch_city,account_type
ACCT_00001,9437638670012685,Suryodaya Commercial Bank,Jaipur,Savings
ACCT_00002,8130279150201931,Harborline Bank,Bhubaneswar,Savings
ACCT_00003,9407715244924743,Harborline Bank,Indore,Current
ACCT_00004,4155022802066572,Suryodaya Commercial Bank,Delhi,Savings
ACCT_00005,7166279763914263,Suryodaya Commercial Bank,Hyderabad,Salary
ACCT_00006,0500310074443227,National Meridian Bank,Kolkata,Salary
ACCT_00007,7552680488309816,Crescent Union Bank,Chennai,Current
ACCT_00008,2929520429492508,Suryodaya Commercial Bank,Vijayawada,Savings
ACCT_00009,1800883138093313,Crescent Union Bank,Jaipur,Savings
ACCT_00010,9125307508909157,Crescent Union Bank,Noida,Savings
ACCT_00011,7732788053246123,Dakshin Cooperative Bank,Ahmedabad,Current
ACCT_00012,6502817020625554,Harborline Bank,Ranchi,Savings
ACCT_00013,7030005593474251,Harborline Bank,Kolkata,Savings
ACCT_00014,2374055972509674,Harborline Bank,Jaipur,Current
ACCT_00015,2477468637399762,Crescent Union Bank,Bengaluru,Salary
ACCT_00016,9350959829615251,Harborline Bank,Delhi,Current
ACCT_00017,2790259938755881,Harborline Bank,Kochi,Savings
ACCT_00018,4298048743403798,National Meridian Bank,Mumbai,Savings
ACCT_00019,4808898138100991,National Meridian Bank,Indore,Salary
ACCT_00020,3534543425368333,Harborline Bank,Mumbai,Salary
ACCT_00021,3023509138501373,Dakshin Cooperative Bank,Noida,Salary
ACCT_00022,8262493875469537,Dakshin Cooperative Bank,Ranchi,Salary
ACCT_00023,4953640446196289,National Meridian Bank,Hyderabad,Salary
ACCT_00024,1169819178153938,Dakshin Cooperative Bank,Chennai,Salary
ACCT_00025,2841370586936702,Crescent Union Bank,Delhi,Current
ACCT_00026,4144824440245973,National Meridian Bank,Vijayawada,Current
ACCT_00027,2805713345717628,Dakshin Cooperative Bank,Kolkata,Current
ACCT_00028,1235028281932440,National Meridian Bank,Jaipur,Current
ACCT_00029,4532602861760388,Dakshin Cooperative Bank,Ranchi,Current
ACCT_00030,3039090469997177,Suryodaya Commercial Bank,Vijayawada,Savings
ACCT_00031,0583304222355703,Harborline Bank,Panaji,Savings
ACCT_00032,5573629524183879,Crescent Union Bank,Kochi,Current
ACCT_00033,5362527363574208,Dakshin Cooperative Bank,Bengaluru,Current
ACCT_00034,9365434502647865,Suryodaya Commercial Bank,Ranchi,Salary
ACCT_00035,0476685386016474,Suryodaya Commercial Bank,Bengaluru,Savings
ACCT_00036,1677805170737664,Dakshin Cooperative Bank,Bhubaneswar,Current
ACCT_00037,8848798375759975,Crescent Union Bank,Panaji,Savings
ACCT_00038,0316509213030113,Suryodaya Commercial Bank,Hyderabad,Savings
ACCT_00039,1350664601558696,Dakshin Cooperative Bank,Jaipur,Savings
ACCT_00040,0667428852708906,Suryodaya Commercial Bank,Bengaluru,Savings
ACCT_00041,4724033993937825,Suryodaya Commercial Bank,Bengaluru,Salary
ACCT_00042,2264670187183490,Harborline Bank,Panaji,Current
ACCT_00043,9687577373556778,Harborline Bank,Indore,Salary
ACCT_00044,3293204752744977,National Meridian Bank,Bhubaneswar,Savings
ACCT_00045,2370707689876464,Dakshin Cooperative Bank,Bengaluru,Savings
ACCT_00046,4025108736043088,National Meridian Bank,Panaji,Salary
ACCT_00047,8438364900028938,Dakshin Cooperative Bank,Hyderabad,Salary
ACCT_00048,9763514511306214,Harborline Bank,Patna,Salary
ACCT_00049,4063784987681931,Harborline Bank,Hyderabad,Savings
ACCT_00050,9142190061349873,Crescent Union Bank,Mumbai,Salary
ACCT_00051,1047915484147416,Harborline Bank,Mumbai,Current
ACCT_00052,0691409916294076,Crescent Union Bank,Delhi,Salary
ACCT_00053,0553077657374994,Crescent Union Bank,Indore,Salary
ACCT_00054,8513835657820059,Suryodaya Commercial Bank,Mumbai,Current
ACCT_00055,2102066226243536,Crescent Union Bank,Kolkata,Savings
ACCT_00056,6074744196517343,National Meridian Bank,Ranchi,Savings
ACCT_00057,4311920510033735,Suryodaya Commercial Bank,Indore,Savings
ACCT_00058,1846250604554578,Harborline Bank,Panaji,Salary
ACCT_00059,4593273761790229,Suryodaya Commercial Bank,Vijayawada,Savings
ACCT_00060,0536170071321859,Dakshin Cooperative Bank,Jaipur,Current
ACCT_00061,2489574303776247,Suryodaya Commercial Bank,Jaipur,Current
ACCT_00062,2328077132913585,National Meridian Bank,Hyderabad,Salary
ACCT_00063,4603335895843326,Harborline Bank,Ahmedabad,Current
ACCT_00064,5052870037501360,Crescent Union Bank,Raipur,Current
ACCT_00065,9116478402481313,National Meridian Bank,Patna,Savings
ACCT_00066,5951576206330087,Suryodaya Commercial Bank,Kolkata,Salary
ACCT_00067,5081864456121656,Crescent Union Bank,Raipur,Current
ACCT_00068,9288185841611339,Suryodaya Commercial Bank,Patna,Savings
ACCT_00069,9634126664893439,Harborline Bank,Chennai,Savings
ACCT_00070,4776809966602831,Harborline Bank,Indore,Savings
ACCT_00071,8293649975103082,National Meridian Bank,Bengaluru,Salary
ACCT_00072,3771714846254390,Suryodaya Commercial Bank,Ranchi,Salary
ACCT_00073,1917807378541145,Dakshin Cooperative Bank,Vijayawada,Savings
ACCT_00074,3248187511169989,Harborline Bank,Jaipur,Salary
ACCT_00075,7440947633685298,Harborline Bank,Hyderabad,Current
ACCT_00076,0346632929865385,Dakshin Cooperative Bank,Delhi,Salary
ACCT_00077,2641164790472396,Crescent Union Bank,Ranchi,Savings
ACCT_00078,7545222957356085,Dakshin Cooperative Bank,Hyderabad,Savings
ACCT_00079,4922042999147352,Suryodaya Commercial Bank,Kolkata,Salary
ACCT_00080,1240583487464418,Suryodaya Commercial Bank,Delhi,Salary
ACCT_00081,7414480550063395,Crescent Union Bank,Ranchi,Current
ACCT_00082,4711447920506806,National Meridian Bank,Chennai,Savings
ACCT_00083,9492333319159397,Suryodaya Commercial Bank,Raipur,Salary
ACCT_00084,5207903335928561,National Meridian Bank,Panaji,Current
ACCT_00085,8335333024885693,National Meridian Bank,Patna,Salary
ACCT_00086,4523311015747349,National Meridian Bank,Indore,Current
ACCT_00087,4528212596899179,Crescent Union Bank,Delhi,Salary
ACCT_00088,7074481404606616,Harborline Bank,Bhubaneswar,Salary
