officer_id,name,rank,unit
OFF_0001,Suresh Rao,SI,Unit 08
OFF_0002,Meena Rao,ACP,Unit 04
OFF_0003,Meena Singh,ACP,Unit 03
OFF_0004,Anil Nair,ACP,Unit 12
OFF_0005,Ravi Kumar,ASI,Unit 05
OFF_0006,Suresh Patel,Inspector,Unit 11
OFF_0007,Meena Rao,Inspector,Unit 08
OFF_0008,Kiran Rao,SI,Unit 02
OFF_0009,Kiran Patel,ASI,Unit 02
OFF_0010,Ravi Patel,SI,Unit 02
OFF_0011,Ravi Singh,ACP,Unit 08
OFF_0012,Anil Kumar,SI,Unit 09
OFF_0013,Suresh Singh,ACP,Unit 04
OFF_0014,Anil Singh,Inspector,Unit 03
OFF_0015,Arun Rao,Inspector,Unit 08
OFF_0016,Arun Rao,ASI,Unit 10
OFF_0017,Meena Singh,SI,Unit 09
OFF_0018,Anil Rao,ASI,Unit 09
OFF_0019,Meena Singh,SI,Unit 04
OFF_0020,Arun Singh,SI,Unit 06
OFF_0021,Arun Singh,Inspector,Unit 12
OFF_0022,Meena Kumar,SI,Unit 07
OFF_0023,Anil Patel,ACP,Unit 04
OFF_0024,Suresh Nair,ACP,Unit 06
OFF_0025,Suresh Singh,SI,Unit 08
OFF_0026,Ravi Nair,Inspector,Unit 12
OFF_0027,Suresh Kumar,ACP,Unit 06
OFF_0028,Meena Singh,SI,Unit 01
OFF_0029,Meena Patel,Inspector,Unit 11
OFF_0030,Anil Patel,ACP,Unit 05
OFF_0031,Anil Nair,Inspector,Unit 10
OFF_0032,Arun Nair,Inspector,Unit 04
OFF_0033,Ravi Kumar,SI,Unit 08
OFF_0034,Kiran Rao,ACP,Unit 11
OFF_0035,Anil Rao,ASI,Unit 08
OFF_0036,Kiran Singh,Inspector,Unit 03
OFF_0037,Kiran Singh,ACP,Unit 02
OFF_0038,Arun Patel,ACP,Unit 11
OFF_0039,Arun Rao,SI,Unit 03
OFF_0040,Arun Singh,ACP,Unit 05
OFF_0041,Suresh Patel,ACP,Unit 06
OFF_0042,Kiran Nair,Inspector,Unit 02
OFF_0043,Meena Rao,SI,Unit 09
OFF_0044,Suresh Nair,ASI,Unit 04
OFF_0045,Kiran Nair,Inspector,Unit 04
OFF_0046,Kiran Nair,SI,Unit 05
OFF_0047,Arun Kumar,Inspector,Unit 01
OFF_0048,Kiran Patel,ASI,Unit 11
OFF_0049,Anil Nair,Inspector,Unit 02
OFF_0050,Suresh Rao,ASI,Unit 12
OFF_0051,Ravi Rao,Inspector,Unit 12
OFF_0052,Arun Singh,Inspector,Unit 10
OFF_0053,Anil Nair,Inspector,Unit 05
OFF_0054,Ravi Kumar,SI,Unit 11
OFF_0055,Kiran Patel,ACP,Unit 01
OFF_0056,Arun Nair,SI,Unit 03
OFF_0057,Kiran Patel,ACP,Unit 12
OFF_0058,Kiran Nair,Inspector,Unit 06
OFF_0059,Ravi Patel,ACP,Unit 01
OFF_0060,Ravi Kumar,ACP,Unit 01
