record_id,person_id,surface_name,source_type
NAMEVAR_PERSON_00001_0,PERSON_00001,Rakesh Prasad,business
NAMEVAR_PERSON_00001_1,PERSON_00001,RAKESH PRASAD,witness
NAMEVAR_PERSON_00001_2,PERSON_00001,R. Prasad,business
NAMEVAR_PERSON_00002_0,PERSON_00002,Rakesh Nayak,business
NAMEVAR_PERSON_00002_1,PERSON_00002,RAKESH NAYAK,surveillance
NAMEVAR_PERSON_00002_2,PERSON_00002,R. Nayak,bank
NAMEVAR_PERSON_00003_0,PERSON_00003,Nitin Kumar,court
NAMEVAR_PERSON_00003_1,PERSON_00003,NITIN KUMAR,surveillance
NAMEVAR_PERSON_00003_2,PERSON_00003,N. Kumar,surveillance
NAMEVAR_PERSON_00004_0,PERSON_00004,Sunil Mehta,police
NAMEVAR_PERSON_00004_1,PERSON_00004,SUNIL MEHTA,surveillance
NAMEVAR_PERSON_00004_2,PERSON_00004,S. Mehta,surveillance
NAMEVAR_PERSON_00005_0,PERSON_00005,Sunil Naik,business
NAMEVAR_PERSON_00005_1,PERSON_00005,SUNIL NAIK,business
NAMEVAR_PERSON_00005_2,PERSON_00005,S. Naik,surveillance
NAMEVAR_PERSON_00006_0,PERSON_00006,Vivek Yadav,business
NAMEVAR_PERSON_00006_1,PERSON_00006,VIVEK YADAV,business
NAMEVAR_PERSON_00006_2,PERSON_00006,V. Yadav,court
NAMEVAR_PERSON_00007_0,PERSON_00007,Vikas Kumar,court
NAMEVAR_PERSON_00007_1,PERSON_00007,VIKAS KUMAR,business
NAMEVAR_PERSON_00007_2,PERSON_00007,V. Kumar,bank
NAMEVAR_PERSON_00008_0,PERSON_00008,Ajay Naik,witness
NAMEVAR_PERSON_00008_1,PERSON_00008,AJAY NAIK,police
NAMEVAR_PERSON_00008_2,PERSON_00008,A. Naik,police
NAMEVAR_PERSON_00009_0,PERSON_00009,Rohit Kumar,witness
NAMEVAR_PERSON_00009_1,PERSON_00009,ROHIT KUMAR,bank
NAMEVAR_PERSON_00009_2,PERSON_00009,R. Kumar,business
NAMEVAR_PERSON_00010_0,PERSON_00010,Vikas Yadav,court
NAMEVAR_PERSON_00010_1,PERSON_00010,VIKAS YADAV,police
NAMEVAR_PERSON_00010_2,PERSON_00010,V. Yadav,bank
NAMEVAR_PERSON_00011_0,PERSON_00011,Manoj Saha,witness
NAMEVAR_PERSON_00011_1,PERSON_00011,MANOJ SAHA,bank
NAMEVAR_PERSON_00011_2,PERSON_00011,M. Saha,surveillance
NAMEVAR_PERSON_00012_0,PERSON_00012,Arjun Verma,police
NAMEVAR_PERSON_00012_1,PERSON_00012,ARJUN VERMA,witness
NAMEVAR_PERSON_00012_2,PERSON_00012,A. Verma,bank
NAMEVAR_PERSON_00013_0,PERSON_00013,Ajay Naidu,surveillance
NAMEVAR_PERSON_00013_1,PERSON_00013,AJAY NAIDU,witness
NAMEVAR_PERSON_00013_2,PERSON_00013,A. Naidu,police
