person_id,full_name,date_of_birth,gender,state,city,aadhaar,pan,occupation,risk_role
PERSON_00001,Rakesh Prasad,1992-06-16,Male,Bihar,Patna,760920269855,ZGUKV9016U,Accountant,civilian
PERSON_00002,Rakesh Nayak,1997-01-19,Male,Odisha,Bhubaneswar,037125255028,YKKXX8602D,Technician,civilian
PERSON_00003,Nitin Kumar,1992-05-16,Male,Goa,Panaji,445493005938,YCRVM7949N,Office Assistant,network_associate
PERSON_00004,Sunil Mehta,1962-09-05,Male,Gujarat,Ahmedabad,218082916825,IQSCJ6988N,Sales Executive,civilian
PERSON_00005,Sunil Naik,1978-06-08,Male,Goa,Panaji,925704019015,TMPVG0180T,Shop Owner,civilian
PERSON_00006,Vivek Yadav,1966-06-11,Female,Madhya Pradesh,Indore,813514744572,AXEHM2824S,Consultant,network_associate
PERSON_00007,Vikas Kumar,1985-01-26,Female,Jharkhand,Ranchi,544100255061,LREWS8454T,Accountant,civilian
PERSON_00008,Ajay Naik,1992-07-23,Female,Karnataka,Bengaluru,364531030323,YRFLN1140I,Consultant,network_associate
PERSON_00009,Rohit Kumar,1996-04-21,Female,Chhattisgarh,Raipur,846242944470,ZCLXF1261G,Sales Executive,civilian
PERSON_00010,Vikas Yadav,1964-02-20,Female,Uttar Pradesh,Noida,671379892657,VJSLO9888A,Clerk,network_associate
PERSON_00011,Manoj Saha,1986-02-26,Female,West Bengal,Kolkata,205656287554,CDKTE1033K,Accountant,civilian
PERSON_00012,Arjun Verma,1991-09-22,Female,Chhattisgarh,Raipur,118189118136,CPLTB5687O,Student,network_associate
PERSON_00013,Ajay Naidu,1998-11-07,Male,Andhra Pradesh,Vijayawada,195565854011,MRVIG1701W,Office Assistant,civilian
PERSON_00014,Nilesh Patil,1970-10-15,Female,Maharashtra,Mumbai,845766190209,NJKAO4231H,Supervisor,network_associate
PERSON_00015,Kiran Kumar,1968-06-06,Male,Andhra Pradesh,Vijayawada,018341583798,WNDYD5726I,Shop Owner,civilian
PERSON_00016,Suresh Pillai,1986-06-09,Male,Kerala,Kochi,999450140310,QZTGE5657M,Warehouse Assistant,network_associate
PERSON_00017,Dinesh Nair,1992-03-26,Female,Kerala,Kochi,956605951334,VNPFW8782F,Clerk,network_associate
PERSON_00018,Subhash Prasad,1984-02-03,Male,Bihar,Patna,143970611117,UIZKX1851X,Student,network_associate
PERSON_00019,Arun Kumar,1970-07-16,Female,Andhra Pradesh,Vijayawada,063040755727,GQIWZ1368L,Clerk,civilian
PERSON_00020,Rajesh Naidu,1968-06-04,Male,Telangana,Hyderabad,864931434568,XYDWO5171X,Sales Executive,network_associate
PERSON_00021,Sanjay Jain,1960-04-27,Female,Madhya Pradesh,Indore,322922515568,CZZKX0038J,Student,network_associate
PERSON_00022,Subhash Kumar,1968-08-06,Male,Bihar,Patna,249447796818,GPPMB9671D,Teacher,network_associate
PERSON_00023,Suresh Das,1984-11-14,Male,West Bengal,Kolkata,415357752499,BOFLK7222G,Driver,network_associate
PERSON_00024,Manish Kamat,1960-06-02,Female,Goa,Panaji,157136747752,PDVED3922S,Student,civilian
PERSON_00025,Suresh Sahu,1964-06-05,Male,Odisha,Bhubaneswar,628672436341,UDHKZ5398S,Technician,civilian
PERSON_00026,Sachin Shinde,1997-11-13,Male,Maharashtra,Mumbai,084374946567,YJAQT2693D,Shop Owner,civilian
PERSON_00027,Ravi Verma,1969-03-11,Male,Chhattisgarh,Raipur,519432460078,JTGTJ7017R,Shop Owner,civilian
PERSON_00028,Pankaj Verma,1992-12-19,Male,Delhi,Delhi,477461364459,GDUOA8412X,Warehouse Assistant,civilian
PERSON_00029,Vikas Singh,1973-09-15,Male,Uttar Pradesh,Noida,284734092822,KGHWW8150U,Office Assistant,civilian
PERSON_00030,Vignesh Shetty,1972-02-21,Male,Karnataka,Bengaluru,177498313475,PPJKI8017B,Mechanic,network_associate
PERSON_00031,Akash Kamat,2002-12-01,Male,Goa,Panaji,047320539807,SEJBS3217Y,Student,civilian
PERSON_00032,Vivek Yadav,1999-06-13,Female,Chhattisgarh,Raipur,217881536731,KALFM3028N,Teacher,network_associate
PERSON_00033,Jayesh More,1993-12-27,Female,Maharashtra,Mumbai,867468896937,VYIJD3898C,Student,network_associate
PERSON_00034,Prasad Reddy,1960-04-16,Female,Andhra Pradesh,Vijayawada,946393867356,NLNRO5012K,Student,civilian
PERSON_00035,Nitin Patil,1971-01-15,Male,Maharashtra,Mumbai,764837865878,EAQDJ3787J,Teacher,civilian
PERSON_00036,Amit Patnaik,1998-06-20,Male,Odisha,Bhubaneswar,434229996279,KPDAO0682M,Clerk,civilian
PERSON_00037,Vivek Yadav,1990-05-01,Male,Uttar Pradesh,Noida,114280826201,NSMNQ3490K,Contractor,civilian
PERSON_00038,Rakesh Prasad,1963-03-15,Female,Bihar,Patna,287642402611,TJFRH3218U,Clerk,network_associate
PERSON_00039,Sanjay Sharma,1960-04-24,Female,Rajasthan,Jaipur,277075128891,PHTYE2878E,Mechanic,civilian
PERSON_00040,Arjun Verma,2000-06-21,Male,Rajasthan,Jaipur,225378124801,TIZUR0391B,Student,civilian
PERSON_00041,Prasad Rao,1965-07-12,Male,Andhra Pradesh,Vijayawada,266856869126,YAOZP1437U,Clerk,civilian
PERSON_00042,Manoj Naidu,1994-12-14,Female,Andhra Pradesh,Vijayawada,912437693262,MVVJX9583L,Driver,civilian
PERSON_00043,Hitesh Mehta,1969-10-24,Female,Gujarat,Ahmedabad,213836674334,PILNW7707C,Student,civilian
PERSON_00044,Prasad Menon,1961-10-04,Male,Kerala,Kochi,599764662265,FPPHV5375Y,Warehouse Assistant,civilian
PERSON_00045,Deepak Sharma,1986-06-11,Male,Delhi,Delhi,436633488729,LYBZJ9422S,Mechanic,network_associate
PERSON_00046,Arun Babu,1984-12-15,Male,Tamil Nadu,Chennai,455776103967,WVMIM5314B,Contractor,network_associate
PERSON_00047,Kiran Kumar,1986-09-10,Female,Kerala,Kochi,736575833651,MBTAN0960G,Consultant,civilian
PERSON_00048,Mahesh Reddy,1964-03-01,Female,Telangana,Hyderabad,992115431379,RWATQ6742X,Warehouse Assistant,network_associate
