phone_id,phone_number,status,subscriber_type
PHONE_00001,7973744033,retired,prepaid
PHONE_00002,8853981573,active,business
PHONE_00003,7935562067,retired,business
PHONE_00004,8484553748,active,postpaid
PHONE_00005,7216031270,retired,postpaid
PHONE_00006,7099332053,active,prepaid
PHONE_00007,7883124908,active,business
PHONE_00008,6758962126,active,business
PHONE_00009,7490517676,burner,prepaid
PHONE_00010,6388639656,active,business
PHONE_00011,9689945423,retired,postpaid
PHONE_00012,9189770464,active,business
PHONE_00013,6661272886,active,prepaid
PHONE_00014,8892596807,active,postpaid
PHONE_00015,7117954951,active,postpaid
PHONE_00016,6439140135,active,prepaid
PHONE_00017,6376338121,active,postpaid
PHONE_00018,7565963828,active,business
PHONE_00019,8990833703,active,postpaid
PHONE_00020,9335192474,burner,postpaid
PHONE_00021,6256395975,active,prepaid
PHONE_00022,6955738625,active,prepaid
PHONE_00023,7414166959,retired,prepaid
PHONE_00024,6618733710,retired,postpaid
PHONE_00025,9304256943,active,postpaid
PHONE_00026,8849653784,retired,postpaid
PHONE_00027,8935554085,retired,postpaid
PHONE_00028,9629784478,active,prepaid
PHONE_00029,9161781030,active,postpaid
PHONE_00030,8580564446,burner,postpaid
PHONE_00031,9877857576,burner,business
PHONE_00032,8353325532,burner,business
PHONE_00033,8362024849,retired,postpaid
PHONE_00034,8006298292,active,prepaid
PHONE_00035,9033000655,active,prepaid
PHONE_00036,6267862210,retired,prepaid
PHONE_00037,7135971054,burner,prepaid
PHONE_00038,6588668472,retired,prepaid
PHONE_00039,9602585167,retired,prepaid
PHONE_00040,9493704702,active,postpaid
PHONE_00041,7679348836,active,business
PHONE_00042,7975717109,burner,postpaid
PHONE_00043,9358242384,active,prepaid
PHONE_00044,8482297934,active,postpaid
PHONE_00045,9843045568,active,postpaid
PHONE_00046,8336134404,active,prepaid
PHONE_00047,9806691030,retired,prepaid
PHONE_00048,9058911591,active,prepaid
PHONE_00049,6698816197,burner,postpaid
PHONE_00050,6913842077,active,postpaid
PHONE_00051,8599385929,active,postpaid
PHONE_00052,7364121570,active,postpaid
PHONE_00053,7552325562,active,business
PHONE_00054,6166051147,retired,postpaid
PHONE_00055,6797701093,retired,prepaid
PHONE_00056,9231967228,active,business
PHONE_00057,9938517123,active,postpaid
PHONE_00058,7957744422,active,prepaid
PHONE_00059,7619354872,burner,postpaid
PHONE_00060,9002414933,active,prepaid
PHONE_00061,9970830908,burner,postpaid
PHONE_00062,7215072974,active,business
PHONE_00063,6551601180,retired,prepaid
PHONE_00064,8564606714,active,postpaid
PHONE_00065,7479434091,retired,business
PHONE_00066,8182747545,retired,postpaid
PHONE_00067,7043885785,retired,postpaid
PHONE_00068,6180018786,active,business
PHONE_00069,7669594655,active,business
PHONE_00070,8810949263,active,business
PHONE_00071,6197889900,active,business
PHONE_00072,8840437677,burner,postpaid
PHONE_00073,6436009083,active,prepaid
PHONE_00074,7206711614,active,business
PHONE_00075,8743771642,retired,prepaid
PHONE_00076,8492545884,burner,prepaid
PHONE_00077,8730158626,active,postpaid
PHONE_00078,7975542566,active,prepaid
PHONE_00079,6879626900,active,postpaid
PHONE_00080,6354252936,active,business
PHONE_00081,9423582363,retired,postpaid
PHONE_00082,8561940237,burner,business
PHONE_00083,7989627739,burner,postpaid
PHONE_00084,7154588621,retired,postpaid
PHONE_00085,6777655865,burner,prepaid
PHONE_00086,7091744793,retired,postpaid
PHONE_00087,7188886298,active,postpaid
PHONE_00088,7024147448,active,prepaid
PHONE_00089,9209461987,retired,postpaid
PHONE_00090,7452447777,active,prepaid
PHONE_00091,7439699858,active,business
PHONE_00092,7986908135,active,business
PHONE_00093,9452830771,retired,postpaid
PHONE_00094,8077856354,active,prepaid
PHONE_00095,7925908232,active,postpaid
PHONE_00096,6729258561,active,prepaid
PHONE_00097,6713408446,retired,postpaid
PHONE_00098,9055612524,burner,business
PHONE_00099,8216087288,retired,business
PHONE_00100,6638916321,active,prepaid
PHONE_00101,7321336504,active,prepaid
PHONE_00102,7061489348,active,postpaid
PHONE_00103,7898434752,burner,postpaid
PHONE_00104,6294897456,active,postpaid
PHONE_00105,8929477677,retired,prepaid
PHONE_00106,8176324033,burner,business
PHONE_00107,9371507626,retired,business
PHONE_00108,9161552159,retired,business
PHONE_00109,8407482742,retired,business
PHONE_00110,6543886702,active,postpaid
PHONE_00111,9728517475,retired,business
PHONE_00112,9055581919,burner,business
PHONE_00113,7916969449,active,prepaid
PHONE_00114,8865974663,active,business
PHONE_00115,6250824045,active,prepaid
PHONE_00116,8816059868,retired,business
PHONE_00117,8162100070,active,business
PHONE_00118,8969023449,active,postpaid
PHONE_00119,8572322117,active,prepaid
PHONE_00120,9625563094,active,business
PHONE_00121,8441148988,burner,prepaid
PHONE_00122,7381056628,active,postpaid
PHONE_00123,9558540737,active,prepaid
PHONE_00124,6408742574,active,prepaid
PHONE_00125,8128614090,active,prepaid
PHONE_00126,9628209286,active,prepaid
PHONE_00127,6085008925,active,postpaid
PHONE_00128,7124489111,active,postpaid
PHONE_00129,8840920238,active,business
PHONE_00130,6552149782,burner,prepaid
PHONE_00131,9172162892,retired,prepaid
PHONE_00132,6086163143,active,postpaid
PHONE_00133,9065947487,active,postpaid
PHONE_00134,8952674038,retired,postpaid
PHONE_00135,9241545113,retired,prepaid
PHONE_00136,8910145546,retired,postpaid
PHONE_00137,7015419101,burner,business
PHONE_00138,6787199018,retired,prepaid
PHONE_00139,8247017104,burner,postpaid
PHONE_00140,6995911256,active,business
PHONE_00141,9491424697,active,postpaid
PHONE_00142,6386325725,active,postpaid
PHONE_00143,7175905067,active,postpaid
PHONE_00144,7958038969,active,prepaid
PHONE_00145,9319828191,active,prepaid
PHONE_00146,6790022445,active,postpaid
PHONE_00147,9519410426,active,postpaid
PHONE_00148,6100472903,active,business
PHONE_00149,7980291724,active,postpaid
PHONE_00150,8416707433,active,business
PHONE_00151,7817612301,retired,prepaid
PHONE_00152,8559184713,burner,business
PHONE_00153,8966223267,retired,business
PHONE_00154,8262301145,active,postpaid
PHONE_00155,8604579825,retired,postpaid
PHONE_00156,8601417713,burner,prepaid
PHONE_00157,9578254400,active,postpaid
PHONE_00158,7711068455,burner,business
PHONE_00159,9881165785,active,business
PHONE_00160,9638770792,retired,postpaid
PHONE_00161,7390220044,active,prepaid
PHONE_00162,9967468186,burner,business
PHONE_00163,7127523911,retired,prepaid
PHONE_00164,9833887661,active,prepaid
PHONE_00165,8945655540,burner,postpaid
PHONE_00166,6885919589,active,prepaid
PHONE_00167,7134845619,active,postpaid
PHONE_00168,9852619853,retired,prepaid
PHONE_00169,9460797685,active,business
PHONE_00170,8157099693,active,prepaid
PHONE_00171,6461545935,active,postpaid
PHONE_00172,6839068320,burner,business
PHONE_00173,9737233909,retired,postpaid
PHONE_00174,6852300235,burner,prepaid
PHONE_00175,6081509628,active,business
PHONE_00176,6386940877,active,postpaid
PHONE_00177,6361247509,burner,postpaid
PHONE_00178,8121690838,active,prepaid
PHONE_00179,7331341148,active,prepaid
PHONE_00180,8369618512,retired,business
PHONE_00181,8733011108,burner,postpaid
PHONE_00182,7915629492,active,business
PHONE_00183,9168573892,burner,business
PHONE_00184,7848478841,retired,postpaid
PHONE_00185,7945939970,active,business
PHONE_00186,7941670912,active,postpaid
PHONE_00187,7195632919,retired,postpaid
PHONE_00188,9228546366,retired,postpaid
PHONE_00189,9655746345,retired,postpaid
PHONE_00190,8830206074,burner,postpaid
PHONE_00191,7715903599,active,prepaid
PHONE_00192,6106013401,retired,prepaid
PHONE_00193,8592728572,retired,prepaid
PHONE_00194,7639553919,active,postpaid
PHONE_00195,7043514901,active,prepaid
PHONE_00196,9026167224,retired,prepaid
PHONE_00197,6475238333,retired,prepaid
