account_id,account_number,holder_person_id,bank_code,account_status
AC0001,XX96152165,P0175,PUNB,ACTIVE
AC0002,XX11903031,P0131,HDFC,ACTIVE
AC0003,XX48567679,P0167,ICIC,ACTIVE
AC0004,XX57495882,P0002,AXIS,ACTIVE
AC0005,XX87674002,P0119,AXIS,ACTIVE
AC0006,XX39876014,P0075,UBIN,ACTIVE
AC0007,XX36895266,P0006,AXIS,ACTIVE
AC0008,XX95064444,P0121,SBIN,ACTIVE
AC0009,XX22287954,P0135,SBIN,ACTIVE
AC0010,XX66064625,P0026,PUNB,ACTIVE
AC0011,XX51120023,P0114,UBIN,ACTIVE
AC0012,XX26353507,P0094,HDFC,ACTIVE
AC0013,XX71740437,P0026,HDFC,ACTIVE
AC0014,XX68067986,P0161,AXIS,ACTIVE
AC0015,XX88749164,P0128,UBIN,ACTIVE
AC0016,XX22514308,P0069,SBIN,ACTIVE
AC0017,XX59527127,P0058,PUNB,ACTIVE
AC0018,XX14952643,P0030,UBIN,ACTIVE
AC0019,XX81334228,P0069,HDFC,ACTIVE
AC0020,XX92407147,P0106,UBIN,ACTIVE
AC0021,XX66251730,P0099,AXIS,ACTIVE
AC0022,XX42242396,P0019,AXIS,ACTIVE
AC0023,XX44178037,P0130,AXIS,ACTIVE
AC0024,XX25293005,P0142,SBIN,ACTIVE
AC0025,XX86782576,P0044,SBIN,ACTIVE
AC0026,XX40432365,P0064,SBIN,ACTIVE
AC0027,XX22317539,P0104,UBIN,ACTIVE
AC0028,XX98137345,P0106,SBIN,ACTIVE
AC0029,XX63369892,P0136,PUNB,ACTIVE
AC0030,XX78605623,P0100,PUNB,ACTIVE
AC0031,XX41889050,P0064,AXIS,ACTIVE
AC0032,XX40454952,P0083,HDFC,ACTIVE
AC0033,XX50899826,P0136,ICIC,ACTIVE
AC0034,XX45960930,P0153,HDFC,ACTIVE
AC0035,XX16996568,P0054,HDFC,ACTIVE
AC0036,XX69438596,P0164,ICIC,ACTIVE
AC0037,XX81667650,P0168,SBIN,ACTIVE
AC0038,XX54549220,P0114,HDFC,ACTIVE
AC0039,XX84355841,P0150,PUNB,ACTIVE
AC0040,XX64069385,P0007,HDFC,ACTIVE
AC0041,XX51582310,P0002,ICIC,ACTIVE
AC0042,XX15097039,P0033,AXIS,ACTIVE
AC0043,XX68791619,P0004,PUNB,ACTIVE
AC0044,XX22080286,P0135,UBIN,ACTIVE
AC0045,XX77771888,P0150,UBIN,ACTIVE
AC0046,XX20783737,P0111,PUNB,ACTIVE
AC0047,XX11244104,P0179,HDFC,ACTIVE
AC0048,XX16131694,P0032,PUNB,ACTIVE
AC0049,XX96935995,P0004,UBIN,ACTIVE
AC0050,XX97335167,P0167,PUNB,ACTIVE
AC0051,XX56464048,P0054,UBIN,ACTIVE
AC0052,XX12725008,P0095,UBIN,ACTIVE
AC0053,XX43356304,P0172,HDFC,ACTIVE
AC0054,XX25240812,P0160,HDFC,ACTIVE
AC0055,XX60926185,P0063,AXIS,ACTIVE
AC0056,XX89590295,P0095,HDFC,ACTIVE
AC0057,XX26881081,P0050,SBIN,ACTIVE
AC0058,XX17065520,P0074,ICIC,ACTIVE
AC0059,XX86443413,P0011,PUNB,ACTIVE
AC0060,XX81263378,P0060,HDFC,ACTIVE
AC0061,XX94385638,P0055,UBIN,ACTIVE
AC0062,XX69359237,P0114,HDFC,ACTIVE
AC0063,XX65344687,P0010,UBIN,ACTIVE
AC0064,XX50132455,P0115,ICIC,ACTIVE
AC0065,XX16376395,P0063,PUNB,ACTIVE
AC0066,XX87135256,P0020,SBIN,ACTIVE
AC0067,XX40655249,P0159,SBIN,ACTIVE
AC0068,XX30568634,P0051,SBIN,ACTIVE
AC0069,XX18365478,P0076,UBIN,ACTIVE
AC0070,XX68883799,P0145,PUNB,ACTIVE
AC0071,XX55643399,P0173,UBIN,ACTIVE
AC0072,XX94727547,P0048,AXIS,ACTIVE
AC0073,XX19452928,P0076,SBIN,ACTIVE
AC0074,XX92380194,P0049,ICIC,ACTIVE
AC0075,XX90857229,P0158,HDFC,ACTIVE
AC0076,XX72567364,P0120,UBIN,ACTIVE
AC0077,XX30786467,P0156,HDFC,ACTIVE
AC0078,XX28220694,P0128,SBIN,ACTIVE
AC0079,XX72843004,P0131,HDFC,ACTIVE
AC0080,XX90248572,P0163,ICIC,ACTIVE
AC0081,XX32473046,P0056,AXIS,ACTIVE
AC0082,XX80324472,P0077,SBIN,ACTIVE
AC0083,XX85336020,P0169,AXIS,ACTIVE
AC0084,XX12159768,P0021,SBIN,ACTIVE
AC0085,XX83361936,P0043,SBIN,ACTIVE
AC0086,XX37628095,P0068,SBIN,ACTIVE
AC0087,XX43571046,P0154,UBIN,ACTIVE
AC0088,XX85149946,P0045,HDFC,ACTIVE
AC0089,XX35336111,P0034,SBIN,ACTIVE
AC0090,XX34409785,P0103,PUNB,ACTIVE
AC0091,XX35980796,P0063,UBIN,ACTIVE
AC0092,XX37947526,P0096,ICIC,ACTIVE
