account_id,account_number,bank_name,branch_city,account_type
ACCT_00001,9822101220237347,Deccan Mercantile Bank,Ahmedabad,Savings
ACCT_00002,6521007857476175,Suryodaya Commercial Bank,Mohali,Current
ACCT_00003,5879680062289026,Suryodaya Commercial Bank,Ranchi,Savings
ACCT_00004,3673546029711828,Dakshin Bharat Bank,Patna,Savings
ACCT_00005,5871846078246324,Bharat Meridian Bank,Dhanbad,Current
ACCT_00006,8974181285300771,Deccan Mercantile Bank,Jabalpur,Savings
ACCT_00007,7273883481399047,Narmada Cooperative Bank,Durgapur,Savings
ACCT_00008,9567761167505482,Narmada Cooperative Bank,Kochi,Current
ACCT_00009,5314688969791869,Bharat Meridian Bank,Mumbai,Current
ACCT_00010,7635008496619418,Suryodaya Commercial Bank,New Delhi,Current
ACCT_00011,3709623182132125,Suryodaya Commercial Bank,Visakhapatnam,Savings
ACCT_00012,3751053103406833,Deccan Mercantile Bank,Mohali,Current
ACCT_00013,4871647269149886,Narmada Cooperative Bank,Coimbatore,Current
ACCT_00014,9619780651540580,Dakshin Bharat Bank,Nashik,Current
ACCT_00015,8818120980646643,Deccan Mercantile Bank,Udaipur,Savings
ACCT_00016,8896337550782857,Eastern Union Bank,Mumbai,Current
ACCT_00017,3658939918600168,Narmada Cooperative Bank,Muzaffarpur,Current
ACCT_00018,6884483879098661,Bharat Meridian Bank,Ahmedabad,Savings
ACCT_00019,5264478475035030,Bharat Meridian Bank,Mumbai,Savings
ACCT_00020,7092134254151216,Eastern Union Bank,Rourkela,Current
ACCT_00021,6638974913729797,Bharat Meridian Bank,Patna,Current
ACCT_00022,6346717478568291,Dakshin Bharat Bank,Patna,Current
ACCT_00023,3623225091965012,Deccan Mercantile Bank,Cuttack,Current
ACCT_00024,9754541582555511,Deccan Mercantile Bank,Vijayawada,Current
ACCT_00025,8293644497548916,Deccan Mercantile Bank,Bhubaneswar,Current
ACCT_00026,2633859913387968,Dakshin Bharat Bank,Mohali,Savings
ACCT_00027,5909970363503946,Bharat Meridian Bank,Mumbai,Current
ACCT_00028,2750529136145281,Dakshin Bharat Bank,Muzaffarpur,Savings
ACCT_00029,2130474997160841,Dakshin Bharat Bank,Jamshedpur,Savings
ACCT_00030,3236595074412288,Suryodaya Commercial Bank,Vadodara,Savings
ACCT_00031,7599876435768771,Eastern Union Bank,Bhubaneswar,Savings
ACCT_00032,4563561023336982,Suryodaya Commercial Bank,New Delhi,Savings
