person_id,full_name,date_of_birth,gender,state,city,aadhaar,pan,occupation,risk_role
PERSON_00001,Vikas Sahu,1968-01-07,Male,Jharkhand,Ranchi,766283231346,EDDVB4678H,Agent,civilian
PERSON_00002,Mahesh Mehta,1971-09-16,Male,Gujarat,Ahmedabad,700661499910,LHYFW4338B,Accountant,civilian
PERSON_00003,Anup Dutta,1992-08-17,Female,West Bengal,Kolkata,620815740399,PNJFG1931G,Receptionist,civilian
PERSON_00004,Pooja Parmar,1995-11-19,Female,Gujarat,Surat,998791302586,CVDWE8450Q,Security Guard,network_associate
PERSON_00005,Arindam Sen,1973-11-15,Male,West Bengal,Howrah,807123333444,LWYGE7787Z,Technician,suspect
PERSON_00006,Sunil Sharma,1970-08-01,Female,Rajasthan,Jaipur,722952237608,PNEFU9085L,Consultant,network_associate
PERSON_00007,Meera Kurian,1972-08-08,Female,Kerala,Kozhikode,944691016243,XFBBR2012U,Warehouse Supervisor,network_associate
PERSON_00008,Meera Mathew,1993-11-09,Female,Kerala,Kochi,897914202855,LXQYI1802D,Teacher,network_associate
PERSON_00009,Nitin Pawar,1986-07-13,Male,Maharashtra,Nashik,955701616296,TXOCB6444J,Sales Executive,network_associate
PERSON_00010,Harish Varma,1968-04-18,Male,Telangana,Warangal,919285971510,SPOZP3299W,Teacher,suspect
PERSON_00011,Rajesh Iyer,1988-03-15,Female,Kerala,Thiruvananthapuram,918048866360,PCZSP5432I,Broker,network_associate
PERSON_00012,Manjunath Naik,1993-03-13,Female,Karnataka,Bengaluru,713178658063,ADWYO1571W,Nurse,network_associate
PERSON_00013,Pooja Patel,1994-10-26,Female,Madhya Pradesh,Indore,933102589602,NRIAL5700V,Software Analyst,suspect
PERSON_00014,Harish Rao,1992-07-21,Male,Telangana,Hyderabad,705211940070,PFRUV4977X,Consultant,network_associate
PERSON_00015,Ramesh Babu,1970-06-27,Male,Andhra Pradesh,Visakhapatnam,755262884137,JPGZD6287I,Field Officer,network_associate
PERSON_00016,Vikas Mishra,1988-10-19,Male,Bihar,Gaya,656871604261,BKSDE7152J,Warehouse Supervisor,network_associate
PERSON_00017,Rakesh Singh,1984-04-08,Male,Jharkhand,Dhanbad,859903059883,RQOBN6764B,Receptionist,network_associate
PERSON_00018,Amit Banerjee,1978-08-09,Female,West Bengal,Kolkata,822805847579,QMBKN8710O,Software Analyst,suspect
PERSON_00019,Dinesh Kumar,1994-11-01,Male,Tamil Nadu,Chennai,670825766640,GCUVQ4459Y,Broker,network_associate
PERSON_00020,Mahesh Shah,1997-05-14,Male,Gujarat,Surat,610261683296,BPRPQ3085R,Sales Executive,network_associate
PERSON_00021,Amit Verma,1978-07-13,Male,Uttar Pradesh,Lucknow,933729563169,ZVMIJ1051W,Mechanic,network_associate
PERSON_00022,Amit Jha,1986-05-04,Male,Bihar,Patna,895235249990,QOVUO9124L,Agent,network_associate
PERSON_00023,Prakash Shetty,1997-02-01,Female,Karnataka,Hubballi,898236252213,QVUPT3026C,Agent,civilian
PERSON_00024,Karthik Kumar,2001-06-02,Male,Andhra Pradesh,Visakhapatnam,877375835171,EVMHY3786T,Teacher,network_associate
PERSON_00025,Ajay Kumar,1984-12-18,Male,Andhra Pradesh,Vijayawada,942101177244,AKRXE7881X,Electrician,suspect
PERSON_00026,Dinesh Saini,2000-06-05,Male,Rajasthan,Jaipur,808213175947,ADCXQ3105B,Field Officer,network_associate
PERSON_00027,Anil Naik,1972-11-01,Male,Karnataka,Bengaluru,746952646303,VRKHR2386D,Consultant,suspect
PERSON_00028,Saravanan Mani,1985-05-14,Male,Tamil Nadu,Madurai,686343508610,NDKSC3272R,Technician,network_associate
PERSON_00029,Rakesh Dutta,1999-08-28,Male,West Bengal,Kolkata,947684366624,PFCLP8668I,Broker,network_associate
PERSON_00030,Navdeep Sodhi,1986-03-23,Male,Punjab,Ludhiana,916029491225,NNNWB3244U,Driver,network_associate
PERSON_00031,Deepak Verma,1973-07-15,Male,Madhya Pradesh,Indore,923576386777,JFQJE8642B,Field Officer,network_associate
PERSON_00032,Keerthi Kumar,1978-06-10,Female,Telangana,Warangal,954412507412,YUCZV5436W,Courier Supervisor,network_associate
PERSON_00033,Suresh Shetty,2001-12-16,Male,Karnataka,Mysuru,971255396149,CMWOJ3401B,Shop Owner,network_associate
PERSON_00034,Vivek Kulkarni,1972-03-24,Male,Maharashtra,Pune,803453102503,EEQCG9577G,Accountant,suspect
PERSON_00035,Ganesh Naidu,1970-11-24,Male,Telangana,Nizamabad,620803556818,PESCH7819K,Accountant,network_associate
PERSON_00036,Arun Prasad,1975-01-16,Male,Bihar,Gaya,679950499766,KWVRB7389G,Security Guard,suspect
PERSON_00037,Vinod Varghese,2000-03-16,Male,Kerala,Thiruvananthapuram,614727859073,DSKUV8596P,Driver,network_associate
PERSON_00038,Manish Tiwari,1994-02-22,Male,Madhya Pradesh,Indore,696224536935,LAZOW5790K,Electrician,suspect
PERSON_00039,Amit Sharma,1982-05-26,Male,Delhi,New Delhi,918029937099,ICOIM6833K,Driver,network_associate
PERSON_00040,Debashis Roy,1970-10-15,Male,West Bengal,Kolkata,676124390735,OSQDQ3437L,Broker,network_associate
