phone_id,phone_number,owner_person_id,status,source
PH0001,+919801000001,P001,ACTIVE,SYNTHETIC
PH0002,+919802000002,P002,ACTIVE,SYNTHETIC
PH0003,+919803000003,P003,ACTIVE,SYNTHETIC
PH0004,+919804000004,P004,ACTIVE,SYNTHETIC
PH0005,+919805000005,P005,ACTIVE,SYNTHETIC
PH0006,+919806000006,P006,ACTIVE,SYNTHETIC
PH0007,+919807000007,P007,ACTIVE,SYNTHETIC
PH0008,+919808000008,P008,ACTIVE,SYNTHETIC
PH0009,+919809000009,P009,ACTIVE,SYNTHETIC
PH0010,+919810000010,P010,ACTIVE,SYNTHETIC
PH0011,+919811000011,P011,ACTIVE,SYNTHETIC
PH0012,+919812000012,P012,ACTIVE,SYNTHETIC
PH0013,+919813000013,P013,ACTIVE,SYNTHETIC
PH0014,+919814000014,P014,ACTIVE,SYNTHETIC
PH0015,+919815000015,P015,ACTIVE,SYNTHETIC
PH0016,+919816000016,P016,ACTIVE,SYNTHETIC
PH0017,+919817000017,P017,ACTIVE,SYNTHETIC
PH0018,+919818000018,P018,ACTIVE,SYNTHETIC
PH0019,+919819000019,P019,ACTIVE,SYNTHETIC
PH0020,+919820000020,P020,ACTIVE,SYNTHETIC
PH0021,+919821000021,P021,ACTIVE,SYNTHETIC
PH0022,+919822000022,P022,ACTIVE,SYNTHETIC
PH0023,+919823000023,P023,ACTIVE,SYNTHETIC
PH0024,+919824000024,P024,ACTIVE,SYNTHETIC
PH0025,+919825000025,P025,ACTIVE,SYNTHETIC
PH0026,+919826000026,P026,ACTIVE,SYNTHETIC
PH0027,+919827000027,P027,ACTIVE,SYNTHETIC
PH0028,+919828000028,P028,ACTIVE,SYNTHETIC
PH0029,+919829000029,P029,ACTIVE,SYNTHETIC
PH0030,+919830000030,P030,ACTIVE,SYNTHETIC
PH0031,+919831000031,P031,ACTIVE,SYNTHETIC
PH0032,+919832000032,P032,ACTIVE,SYNTHETIC
PH0033,+919833000033,P033,ACTIVE,SYNTHETIC
PH0034,+919834000034,P034,ACTIVE,SYNTHETIC
PH0035,+919835000035,P035,ACTIVE,SYNTHETIC
PH0036,+919836000036,P036,ACTIVE,SYNTHETIC
PH0037,+919837000037,P037,ACTIVE,SYNTHETIC
PH0038,+919838000038,P038,ACTIVE,SYNTHETIC
PH0039,+919839000039,P039,ACTIVE,SYNTHETIC
PH0040,+919840000040,P040,ACTIVE,SYNTHETIC
PH0041,+919841000041,P041,ACTIVE,SYNTHETIC
PH0042,+919842000042,P042,ACTIVE,SYNTHETIC
