evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-130,+919850582474,+919850582479,2026-02-10T14:32:00Z,134,OUTGOING,case-014-demo,E-130-0-50582474
E-130,+919850582475,+919850582480,2026-02-11T14:32:00Z,144,OUTGOING,case-014-demo,E-130-1-50582474
E-130,+919850582476,+919850582481,2026-02-12T14:32:00Z,154,OUTGOING,case-014-demo,E-130-2-50582474
E-130,+919850582477,+919850582482,2026-02-13T14:32:00Z,164,OUTGOING,case-014-demo,E-130-3-50582474
E-130,+919850582478,+919850582483,2026-02-14T14:32:00Z,174,OUTGOING,case-014-demo,E-130-4-50582474
E-130,+919850582479,+919850582484,2026-02-15T14:32:00Z,184,OUTGOING,case-014-demo,E-130-5-50582474
E-130,+919850582480,+919850582485,2026-02-16T14:32:00Z,194,OUTGOING,case-014-demo,E-130-6-50582474
E-130,+919850582481,+919850582486,2026-02-17T14:32:00Z,204,OUTGOING,case-014-demo,E-130-7-50582474
E-130,+919850582482,+919850582487,2026-02-18T14:32:00Z,214,OUTGOING,case-014-demo,E-130-8-50582474
E-130,+919850582483,+919850582488,2026-02-19T14:32:00Z,224,OUTGOING,case-014-demo,E-130-9-50582474
