evidence_id,txn_id,date,from_account,to_account,amount,ifsc,case_id,unique_nonce
E-235,TXN235-0000-28302609,2026-02-10,50100302609,50200302609,12609,SBIN0001234,case-010-demo,E-235-0
E-235,TXN235-0001-28302609,2026-02-11,50100302610,50200302610,13109,SBIN0001234,case-010-demo,E-235-1
E-235,TXN235-0002-28302609,2026-02-12,50100302611,50200302611,13609,SBIN0001234,case-010-demo,E-235-2
E-235,TXN235-0003-28302609,2026-02-13,50100302612,50200302612,14109,SBIN0001234,case-010-demo,E-235-3
E-235,TXN235-0004-28302609,2026-02-14,50100302613,50200302613,14609,SBIN0001234,case-010-demo,E-235-4
E-235,TXN235-0005-28302609,2026-02-15,50100302614,50200302614,15109,SBIN0001234,case-010-demo,E-235-5
E-235,TXN235-0006-28302609,2026-02-16,50100302615,50200302615,15609,SBIN0001234,case-010-demo,E-235-6
E-235,TXN235-0007-28302609,2026-02-17,50100302616,50200302616,16109,SBIN0001234,case-010-demo,E-235-7
E-235,TXN235-0008-28302609,2026-02-18,50100302617,50200302617,16609,SBIN0001234,case-010-demo,E-235-8
E-235,TXN235-0009-28302609,2026-02-19,50100302618,50200302618,17109,SBIN0001234,case-010-demo,E-235-9
E-235,TXN235-0010-28302609,2026-02-20,50100302619,50200302619,17609,SBIN0001234,case-010-demo,E-235-10
E-235,TXN235-0011-28302609,2026-02-21,50100302620,50200302620,18109,SBIN0001234,case-010-demo,E-235-11
E-235,TXN235-0012-28302609,2026-02-22,50100302621,50200302621,18609,SBIN0001234,case-010-demo,E-235-12
E-235,TXN235-0013-28302609,2026-02-23,50100302622,50200302622,19109,SBIN0001234,case-010-demo,E-235-13
E-235,TXN235-0014-28302609,2026-02-24,50100302623,50200302623,19609,SBIN0001234,case-010-demo,E-235-14
