txn_id,from_account,to_account,timestamp,amount,txn_type,reference,narrative,record_nonce
TXN000128-0128,50002408767,50003351328,2025-02-02T02:00:00+00:00,241728,UPI,TXN000128-128-0,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000129-0128,50002513496,50000418916,2025-02-02T08:00:00+00:00,255179,CASH,TXN000129-128-1,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000130-0128,50002618225,50001152019,2025-02-02T14:00:00+00:00,268630,NEFT,TXN000130-128-2,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000131-0128,50002722954,50001885122,2025-02-02T20:00:00+00:00,282081,RTGS,TXN000131-128-3,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000132-0128,50002827683,50002618225,2025-02-03T02:00:00+00:00,295532,IMPS,TXN000132-128-4,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000133-0128,50002932412,50003351328,2025-02-03T08:00:00+00:00,47223,UPI,TXN000133-128-5,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000134-0128,50003037141,50000418916,2025-02-03T14:00:00+00:00,322434,CASH,TXN000134-128-6,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000135-0128,50003141870,50001152019,2025-02-03T20:00:00+00:00,335885,NEFT,TXN000135-128-7,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000136-0128,50003246599,50001885122,2025-02-04T02:00:00+00:00,349336,RTGS,TXN000136-128-8,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000137-0128,50003351328,50002618225,2025-02-04T08:00:00+00:00,362787,IMPS,TXN000137-128-9,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000138-0128,50003456057,50003351328,2025-02-04T14:00:00+00:00,376238,UPI,TXN000138-128-10,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000139-0128,50003560786,50000418916,2025-02-04T20:00:00+00:00,389689,CASH,TXN000139-128-11,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000140-0128,50000000000,50001152019,2025-02-05T02:00:00+00:00,47340,NEFT,TXN000140-128-12,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000141-0128,50000104729,50001885122,2025-02-05T08:00:00+00:00,416591,RTGS,TXN000141-128-13,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000142-0128,50000209458,50002618225,2025-02-05T14:00:00+00:00,430042,IMPS,TXN000142-128-14,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000143-0128,50000314187,50003351328,2025-02-05T20:00:00+00:00,443493,UPI,TXN000143-128-15,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000144-0128,50000418916,50000523645,2025-02-06T02:00:00+00:00,456944,CASH,TXN000144-128-16,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000145-0128,50000523645,50001152019,2025-02-06T08:00:00+00:00,470395,NEFT,TXN000145-128-17,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000146-0128,50000628374,50001885122,2025-02-06T14:00:00+00:00,483846,RTGS,TXN000146-128-18,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv
TXN000147-0128,50000733103,50002618225,2025-02-06T20:00:00+00:00,47457,IMPS,TXN000147-128-19,Transfer per transaction record,E-0128|CR-2011|evidence/CR-2011/CR-2011_FINANCIAL_09.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
