call_id,caller_number,callee_number,timestamp,duration_s,call_type,cell_id,imei,record_nonce
CDR00295-000,+919000003425,+919000008220,2025-01-08T13:55:00+00:00,215,SMS,CELL-0015,IMEI123456789012640,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-001,+919000003562,+919000010686,2025-01-08T14:32:00+00:00,238,MISSED,CELL-0016,IMEI123456789012641,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-002,+919000003699,+919000000822,2025-01-08T15:09:00+00:00,261,VOICE,CELL-0017,IMEI123456789012642,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-003,+919000003836,+919000003288,2025-01-08T15:46:00+00:00,284,SMS,CELL-0018,IMEI123456789012643,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-004,+919000003973,+919000005891,2025-01-08T16:23:00+00:00,307,MISSED,CELL-0019,IMEI123456789012644,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-005,+919000004110,+919000008357,2025-01-08T17:00:00+00:00,330,VOICE,CELL-0000,IMEI123456789012645,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-006,+919000004247,+919000010823,2025-01-08T17:37:00+00:00,353,SMS,CELL-0001,IMEI123456789012646,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-007,+919000004384,+919000000959,2025-01-08T18:14:00+00:00,376,MISSED,CELL-0002,IMEI123456789012647,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-008,+919000004521,+919000003425,2025-01-08T18:51:00+00:00,399,VOICE,CELL-0003,IMEI123456789012648,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-009,+919000004658,+919000006028,2025-01-08T19:28:00+00:00,422,SMS,CELL-0004,IMEI123456789012649,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-010,+919000004795,+919000008494,2025-01-08T20:05:00+00:00,445,MISSED,CELL-0005,IMEI123456789012650,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-011,+919000004932,+919000010960,2025-01-08T20:42:00+00:00,468,VOICE,CELL-0006,IMEI123456789012651,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-012,+919000005069,+919000001096,2025-01-08T21:19:00+00:00,491,SMS,CELL-0007,IMEI123456789012652,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-013,+919000005206,+919000003562,2025-01-08T21:56:00+00:00,514,MISSED,CELL-0008,IMEI123456789012653,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-014,+919000005343,+919000006165,2025-01-08T22:33:00+00:00,537,VOICE,CELL-0009,IMEI123456789012654,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-015,+919000005480,+919000008631,2025-01-08T23:10:00+00:00,560,SMS,CELL-0010,IMEI123456789012655,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-016,+919000005617,+919000011097,2025-01-08T23:47:00+00:00,583,MISSED,CELL-0011,IMEI123456789012656,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-017,+919000005754,+919000001233,2025-01-09T00:24:00+00:00,606,VOICE,CELL-0012,IMEI123456789012657,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-018,+919000005891,+919000003699,2025-01-09T01:01:00+00:00,629,SMS,CELL-0013,IMEI123456789012658,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv
CDR00295-019,+919000006028,+919000006302,2025-01-09T01:38:00+00:00,52,MISSED,CELL-0014,IMEI123456789012659,E-0295|CR-2025|evidence/CR-2025/CR-2025_CDR_08.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
