txn_date,from_account,to_account,amount,channel,reference
2024-07-20 10:30:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0000
2024-07-21 11:43:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0001
2024-07-22 12:56:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0002
2024-07-23 14:09:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0003
2024-07-24 15:22:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0004
2024-07-25 10:35:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0005
2024-07-26 11:48:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0006
2024-07-27 13:01:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0007
2024-07-28 14:14:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0008
2024-07-29 15:27:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0009
2024-07-30 10:40:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0010
2024-07-31 11:53:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0011
2024-08-01 13:06:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0012
2024-08-02 14:19:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0013
2024-08-03 14:32:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0014
2024-08-04 10:45:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0015
2024-08-05 11:58:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0016
2024-08-05 16:20:00,7799001122334455,9911223344556677,750000,RTGS,UTR2024LARGE001
2024-08-06 13:11:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0017
2024-08-07 14:24:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0018
2024-08-08 14:37:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0019
2024-08-09 10:50:00,50100234567890,7799001122334455,48000,NEFT,UTR2024STR0020
2024-08-10 12:03:00,50100234567890,7799001122334455,48000,IMPS,UTR2024STR0021
2024-08-12 12:05:00,9911223344556677,50100234567890,120000,NEFT,UTR2024BACK002
