call_date,calling_number,called_number,duration,call_type
2024-08-01 16:00:00,+918700012345,+919870000000,18,OUTGOING
2024-08-01 17:40:00,+919772211223,+919001123456,194,OUTGOING
2024-08-01 18:33:00,+919610019876,+919811023456,99,INCOMING
2024-08-01 22:20:00,+919001123456,+919811023456,86,OUTGOING
2024-08-01 22:58:00,+919610012345,+919829012345,216,INCOMING
2024-08-02 00:33:00,+919001123456,+919610019876,42,INCOMING
2024-08-02 00:43:00,+919610012345,+919772211223,189,OUTGOING
2024-08-02 01:37:00,+919829012345,+919001123456,166,OUTGOING
2024-08-02 02:10:00,+918700012345,+919870001370,61,OUTGOING
2024-08-02 03:07:00,+919811023456,+919772211223,41,OUTGOING
2024-08-02 03:19:00,+919610019876,+919610012345,46,OUTGOING
2024-08-02 06:14:00,+919610012345,+919811023456,67,OUTGOING
2024-08-02 07:41:00,+919811023456,+919001123456,18,INCOMING
2024-08-02 07:55:00,+919610019876,+919772211223,110,INCOMING
2024-08-02 17:07:00,+918700012345,+919870000137,36,OUTGOING
2024-08-02 20:16:00,+919610012345,+919811023456,261,OUTGOING
2024-08-02 21:02:00,+919001123456,+919610019876,194,OUTGOING
2024-08-02 22:14:00,+919811023456,+919610012345,351,OUTGOING
2024-08-02 23:54:00,+919811023456,+919772211223,10,INCOMING
2024-08-02 23:55:00,+919829012345,+919811023456,258,INCOMING
2024-08-03 00:59:00,+919772211223,+919811023456,11,OUTGOING
2024-08-03 02:33:00,+919001123456,+919772211223,346,OUTGOING
2024-08-03 02:50:00,+919772211223,+919001123456,199,OUTGOING
2024-08-03 03:17:00,+918700012345,+919870001507,73,OUTGOING
2024-08-03 05:44:00,+919829012345,+919001123456,145,INCOMING
2024-08-03 06:22:00,+919811023456,+919001123456,193,OUTGOING
2024-08-03 06:28:00,+919610012345,+919610019876,349,OUTGOING
2024-08-03 06:59:00,+919610012345,+919829012345,348,OUTGOING
2024-08-03 07:06:00,+919610012345,+919001123456,345,OUTGOING
2024-08-03 07:24:00,+919829012345,+919772211223,312,OUTGOING
2024-08-03 16:24:00,+918700012345,+919870001644,8,OUTGOING
2024-08-03 17:13:00,+919829012345,+919811023456,69,OUTGOING
2024-08-03 17:18:00,+919772211223,+919610012345,93,INCOMING
2024-08-03 18:14:00,+918700012345,+919870000274,54,OUTGOING
2024-08-03 18:59:00,+919610012345,+919001123456,38,INCOMING
2024-08-03 19:32:00,+919829012345,+919772211223,286,OUTGOING
2024-08-03 20:00:00,+919811023456,+918700012345,64,OUTGOING
2024-08-03 21:05:00,+919001123456,+919610012345,310,INCOMING
2024-08-03 22:57:00,+919811023456,+919772211223,242,OUTGOING
2024-08-04 01:23:00,+919610019876,+919811023456,189,OUTGOING
2024-08-04 01:28:00,+919001123456,+919829012345,43,OUTGOING
2024-08-04 05:45:00,+919610019876,+919001123456,366,INCOMING
2024-08-04 06:08:00,+919811023456,+919610019876,76,OUTGOING
2024-08-04 06:34:00,+919001123456,+919811023456,379,INCOMING
2024-08-04 06:35:00,+919610019876,+919610012345,380,OUTGOING
2024-08-04 06:44:00,+919001123456,+919610019876,25,OUTGOING
2024-08-04 07:28:00,+919829012345,+919001123456,44,OUTGOING
2024-08-04 17:31:00,+918700012345,+919870001781,89,OUTGOING
2024-08-04 17:42:00,+919772211223,+919811023456,138,OUTGOING
2024-08-04 19:21:00,+918700012345,+919870000411,17,OUTGOING
2024-08-04 20:04:00,+919829012345,+919811023456,191,OUTGOING
2024-08-04 21:05:00,+919772211223,+919610012345,101,INCOMING
2024-08-04 21:07:00,+919772211223,+919829012345,390,OUTGOING
2024-08-04 21:20:00,+919829012345,+919772211223,83,OUTGOING
2024-08-04 21:59:00,+919829012345,+919610012345,284,OUTGOING
2024-08-05 00:52:00,+919610019876,+919772211223,23,OUTGOING
2024-08-05 05:10:00,+919001123456,+919829012345,202,INCOMING
2024-08-05 05:27:00,+919772211223,+919610019876,91,OUTGOING
2024-08-05 17:45:00,+919610019876,+919811023456,359,OUTGOING
2024-08-05 18:38:00,+918700012345,+919870001918,50,OUTGOING
2024-08-05 18:58:00,+919829012345,+919610012345,327,OUTGOING
2024-08-05 20:02:00,+919811023456,+919610012345,194,INCOMING
2024-08-05 20:13:00,+919772211223,+919829012345,32,INCOMING
