timestamp,person,location,vehicle_no,observation
2024-08-08 09:15:00,Ramesh Kumar Yadav,Jaipur,RJ14AB4321,Subject seen leaving residence at Sanganer
2024-08-09 18:40:00,Ramesh Kumar Yadav,Jaipur,RJ14AB4321,Subject met two unknown males near M.I. Road market
2024-08-10 09:00:00,Ramesh Kumar Yadav,Jaipur,RJ14AB4321,Vehicle departed towards Delhi highway
2024-08-10 11:00:00,Ramesh Kumar Yadav,Delhi,RJ14AB4321,Vehicle observed at Kashmere Gate area
2024-08-11 20:10:00,Suresh Mehta,Jaipur,RJ14CD7788,Collected packet from shopkeeper near M.I. Road
2024-08-12 11:25:00,Suresh Mehta,Ajmer,,Subject travelled to Ajmer by bus
2024-08-13 22:05:00,Vikram Singh Rathore,Kota,RJ20EF9012,Subject present at Kota railway station
2024-08-14 15:30:00,Vikram Singh Rathore,Jaipur,RJ20EF9012,Subject entered Sanganer godown
2024-08-15 19:00:00,Anil Sharma,Jaipur,,Subject visited Sharma Traders office after hours
2024-08-16 10:45:00,Meena Rathore,Kota,,Subject met Suresh Mehta near bus stand
